cod_postal,lat,lon,town
04662,37.3489,-1.98846,El Palaces
04690,37.4935,-1.8779,"Norias, Las (Huercal Overa)"
04691,37.46583,-1.92964,"Fuensanta, La (Urcal)"
04692,37.43909,-2.04834,Taberno
04693,37.49463,-1.9827,"Piedras, Las (Huercal Overa)"
04694,37.4143,-1.7981,Gacia
04700,36.79915,-2.8336,Santo Domingo
04710,36.7373,-2.8017,San Silvestre
04711,36.7015,-2.7895,Almerimar
04712,36.7307,-2.8866,Balerma
04713,36.7488,-2.9099,Balanegra
04715,36.74307,-2.83857,Matagorda
04716,36.7185,-2.8393,Las Norias De Daza
04717,36.7185,-2.8393,San Agustin
04720,36.8127,-2.5799,El Campillo Del Moro
04721,36.8315,-2.6427,"Parador, El (Vicar)"
04727,36.8369,-2.6181,La Envia
04728,36.8689,-2.658,Felix
04729,36.87725,-2.602,Enix
04738,36.81306,-2.64072,Llanos De Vicar
04740,36.7642,-2.6147,Roquetas De Mar
04741,36.9402,-2.5556,Cortijos De Marin
04743,36.7353,-2.6582,El Solanillo
04745,36.7527,-2.6829,La Mojonera
04746,36.9402,-2.5556,Las Cantinas
04750,36.82685,-2.86955,Dalias
04760,36.8723,-2.9482,El Cid
04768,36.91985,-3.0289,Lucainena De Darrical
04769,36.85536,-2.98052,Hirmes
04770,36.75064,-3.016,El Patio
04778,36.7542,-3.0749,Guainos Altos
04779,36.7543,-2.97963,Venta Nueva
04800,37.38845,-2.1468,Albox
04810,37.43738,-2.25606,Frax
04811,37.51979,-2.27849,El Margen
04812,37.4333,-2.1765,Fuente Del Mojon
04813,37.51617,-2.18897,El Villar
04814,37.4017,-2.13517,La Aljambra
04815,37.34895,-2.1364,Almanzora
04820,37.6484,-2.0769,El Rio De Mula
04825,37.57545,-2.28931,El Contador
04826,37.5982,-2.1318,Los Gatos
04827,37.59318,-2.0401,"Pardos, Los (Velez Rubio)"
04828,37.5704,-2.1218,La Mata De Bolaimi
04829,37.62801,-2.03491,El Piar De Abajo
04830,37.7333,-2.10929,Montalviche
04838,37.70783,-2.2051,Maria
04839,37.85278,-2.22772,Mancheño
04850,37.36687,-1.97114,Las Casicas
04857,37.2836,-2.1823,Albanchez
04858,37.29439,-2.1528,La Piedra De Zahor
04859,37.27039,-2.23231,Lijar
04860,37.35,-2.3,Olula Del Rio
04867,37.30235,-2.32515,Macael
04868,37.2962,-2.3316,Laroya
04869,37.36055,-2.25892,Fines
04870,37.3472,-2.361,Purchena
04877,37.3918,-2.3883,Somontin
04878,37.32995,-2.39375,Sierro
04879,37.3974,-2.3649,Aguamarga (Urracal)
